episode,reward,dist,pose,fuel_bonus,landing_bonus,crash_penalty,fuel_left,step,landed,crashed
25,0.0,0.060193044383555466,-0.40114936379079175,0.0,0.0,0.0,84.78758165988508,667,False,True
26,0.0,0.06499421019860835,-0.3561859570094182,0.0,0.0,0.0,84.83491467888294,672,False,True
27,0.0,0.061203815887804915,-0.3380029515129424,0.0,0.0,0.0,85.41667888364059,647,False,True
28,0.0,0.06593931216715747,-0.3363816239834386,0.0,0.0,0.0,85.11117135635412,696,False,True
29,0.0,0.06761469553234607,-0.4341588208517216,0.0,0.0,0.0,84.32814440028223,684,False,True
30,0.0,0.05411419327327893,-0.23863041013021366,0.0,0.0,0.0,84.91766953909024,690,False,True
31,0.0,0.061637685264074205,-0.31484273512168004,0.0,0.0,0.0,85.875583920679,661,False,True
32,0.0,0.06168208007588789,-0.39540804077121416,0.0,0.0,0.0,87.09047112235595,635,False,True
33,0.0,0.0618735912678015,-0.2504262769978676,0.0,0.0,0.0,85.44535743973191,714,False,True
34,0.0,0.06132923423634842,-0.32588556184658535,0.0,0.0,0.0,85.48713077895972,672,False,True
35,0.0,0.057257239939855424,-0.22137291765711722,0.0,0.0,0.0,84.9085016997936,693,False,True
36,0.0,0.06145178250080884,-0.35250999640036573,0.0,0.0,0.0,86.23506612237615,638,False,True
37,0.0,0.059680663470703,-0.2871704104559778,0.0,0.0,0.0,85.8367067282222,663,False,True
38,0.0,0.06659616628367838,-0.20577963433222674,0.0,0.0,0.0,84.3120841481055,770,False,True
39,0.0,0.06699991197730622,-0.3583511444633278,0.0,0.0,0.0,85.02689261955994,689,False,True
40,0.0,0.06803753320077098,-0.3357021657411321,0.0,0.0,0.0,85.11511923332766,693,False,True
41,0.0,0.06605362732563654,-0.37880278563544656,0.0,0.0,0.0,86.04023018219756,672,False,True
42,0.0,0.059757363553615564,-0.34866444387388856,0.0,0.0,0.0,86.96972158546828,628,False,True
43,0.0,0.060664572005451035,-0.3114724127466569,0.0,0.0,0.0,86.21895940789004,640,False,True
44,0.0,0.06786145117329226,-0.41220338802872436,0.0,0.0,0.0,85.37967887172078,674,False,True
45,0.0,0.06854542837159622,-0.32680572599717234,0.0,0.0,0.0,84.78945752487931,724,False,True
46,0.0,0.05816590968742852,-0.36777801493126305,0.0,0.0,0.0,86.89669093622216,616,False,True
47,0.0,0.054212037448452315,-0.319069773520552,0.0,0.0,0.0,86.09065228603724,634,False,True
48,0.0,0.054397114886057474,-0.18201869707111307,0.0,0.0,0.0,85.02670433895707,729,False,True
49,0.0,0.0686873440844338,-0.29735181664614185,0.0,0.0,0.0,84.83961819045638,718,False,True
50,0.0,0.06590607440447578,-0.34103666882828004,0.0,0.0,0.0,85.26847042551834,693,False,True
51,0.0,0.06284349881361793,-0.34210863226609106,0.0,0.0,0.0,85.3974921362931,681,False,True
52,0.0,0.06281260633704804,-0.31088796958462467,0.0,0.0,0.0,86.09963460487732,685,False,True
53,0.0,0.0523796879769078,-0.24441161430797032,0.0,0.0,0.0,87.00956027170385,636,False,True
54,0.0,0.06777165905780579,-0.17020419117581068,0.0,0.0,0.0,83.00331025722944,800,False,False
55,0.08569062184186096,0.04793437965393767,0.0377562421879233,0.0,0.0,0.0,86.66600348906825,611,False,True
56,0.0,0.05064419080461109,-0.21068495665485962,0.0,0.0,0.0,86.41484321195297,633,False,True
57,0.0,0.05889850739094508,-0.2546681154999232,0.0,0.0,0.0,85.41008900124531,694,False,True
58,0.0,0.05451858566052656,-0.15003834201871769,0.0,0.0,0.0,84.66491187008003,726,False,True
59,0.0,0.0590636823609969,-0.030482744219837543,0.0,0.0,0.0,83.89610499728317,775,False,True
60,0.0,0.06955060333164154,-0.06068942050718889,0.0,0.0,0.0,85.96433115319076,645,False,True
61,0.058137667141933795,0.05017966793693938,0.007957999204994416,0.0,0.0,0.0,85.04071733126547,725,False,True
62,0.0,0.05533498336822976,-0.1346820679783319,0.0,0.0,0.0,84.85481782139905,734,False,True
63,0.0,0.059085090027314414,-0.19025394784203475,0.0,0.0,0.0,84.43276738278962,714,False,True
64,0.16693054440176386,0.06693054440176387,0.1,0.0,0.0,0.0,82.97488049899445,800,False,False
65,0.0,0.048256609537962514,-0.023159583925489557,0.0,0.0,0.0,84.30619950649152,722,False,True
66,0.0,0.0669488500062153,-0.14034055178692925,0.0,0.0,0.0,82.95057237950765,798,False,True
67,0.0,0.051435376951883674,-0.020001499900301402,0.0,0.0,0.0,85.28111062191992,728,False,True
68,0.0,0.0713734078019325,-0.06360628743049404,0.0,0.0,0.0,83.5886998637046,800,False,False
69,0.0,0.05283661700832992,-0.20984277698641854,0.0,0.0,0.0,86.54651014175187,658,False,True
70,0.0,0.053090203862523215,-0.025789844731366696,0.0,0.0,0.0,87.45086451158805,594,False,True
71,0.0,0.05163129258193604,-0.23748103945018872,0.0,0.0,0.0,87.1293250912269,600,False,True
72,0.08002006300307293,0.04801665300737795,0.032003409995694974,0.0,0.0,0.0,85.28107536612164,688,False,True
73,0.0,0.06373593280275398,-0.062105564811689766,0.0,0.0,0.0,83.13783691261612,797,False,True
74,0.0,0.06202872316532048,-0.2439514488546069,0.0,0.0,0.0,86.20079849153609,667,False,True
75,0.0,0.05185850406953055,-0.09867691533297114,0.0,0.0,0.0,83.61061540874611,779,False,True
76,0.0,0.06405122853159077,-0.13137011483601624,0.0,0.0,0.0,86.49678651193786,665,False,True
77,0.05194218087155595,0.04705498174643549,0.004887199125120457,0.0,0.0,0.0,85.78933455375333,680,False,True
78,0.0,0.058392790121481825,-0.090634386986285,0.0,0.0,0.0,85.04794958601605,671,False,True
79,0.0,0.0602561706823703,-0.151697391349845,0.0,0.0,0.0,85.1449286288639,732,False,True
80,0.16532490456957155,0.06532490456957156,0.1,0.0,0.0,0.0,83.48899079929637,800,False,False
81,0.04863609965656864,0.04661443139496139,0.002021668261607257,0.0,0.0,0.0,84.56203549366214,713,False,True
82,0.0,0.05458632839687436,-0.17161681287970618,0.0,0.0,0.0,86.05073250264869,692,False,True
83,0.0,0.04675577647300814,-0.05694673260073207,0.0,0.0,0.0,84.62748719906939,752,False,True
84,0.0,0.06625420416468412,-0.03322361447470008,0.0,0.0,0.0,85.63050940424131,708,False,True
85,0.0,0.06925598498850659,-0.19062517850642968,0.0,0.0,0.0,86.63207174516987,659,False,True
86,0.0,0.0523069189610235,-0.11064860773241048,0.0,0.0,0.0,83.95919985065514,759,False,True
87,0.0,0.058802521652939345,-0.03502246378129266,0.0,0.0,0.0,85.81120167720476,671,False,True
88,0.0,0.05942512069531889,-0.13670958945861478,0.0,0.0,0.0,84.11626999921266,744,False,True
89,0.0,0.06061299524751738,-0.17631807836119495,0.0,0.0,0.0,85.75294692588125,704,False,True
90,0.08147869005138228,0.04893319387432034,0.03254549617706195,0.0,0.0,0.0,87.129761793042,616,False,True
91,0.0,0.06986875724818697,-0.269964027988917,0.0,0.0,0.0,85.68530672668197,678,False,True
92,0.1612358334170037,0.061235833417003685,0.1,0.0,0.0,0.0,85.27174442822854,731,False,True
93,0.09484601179654642,0.06806610544500774,0.026779906351538686,0.0,0.0,0.0,85.57102175155235,684,False,True
94,0.0,0.0658987462078886,-0.22377944358329926,0.0,0.0,0.0,84.55538721254348,730,False,True
95,0.0,0.06960553512985637,-0.21872216980746387,0.0,0.0,0.0,84.4489607921775,724,False,True
96,0.0,0.06489992693738787,-0.1712821793977476,0.0,0.0,0.0,83.28584205384418,787,False,True
97,0.0,0.07003844286481264,-0.35520461696654515,0.0,0.0,0.0,86.3587476376612,663,False,True
98,0.0,0.05118054020815175,-0.12631562972505825,0.0,0.0,0.0,85.87208335707913,681,False,True
99,0.0,0.058829356824187065,-0.12306932162233349,0.0,0.0,0.0,83.04927012033144,800,False,False
100,0.0,0.052943413609604376,-0.2013351449863286,0.0,0.0,0.0,85.61982627473687,672,False,True
101,0.0,0.05631583607524843,-0.2226396945429031,0.0,0.0,0.0,84.39391764526177,737,False,True
