episode,reward,dist,pose,fuel_bonus,landing_bonus,crash_penalty,fuel_left,step,landed,crashed
0,0.0,0.0005531580675177929,-0.3624910681940125,0.0,0.0,0.0,84.96172960991986,606,False,True
1,0.0,0.0007360972769555825,-0.4387979608188136,0.0,0.0,0.0,82.91192305248607,646,False,True
2,0.0,0.0013115946015614165,-0.44563081688295975,0.0,0.0,0.0,82.20683758575032,681,False,True
3,0.0,0.0007856580112118716,-0.4570559015322564,0.0,0.0,0.0,82.99482776123585,654,False,True
4,0.0,0.0014223338754013458,-0.4295950445351167,0.0,0.0,0.0,82.24800565894243,700,False,True
5,0.0,0.0012948779846167762,-0.4696206946310721,0.0,0.0,0.0,81.90398685737247,714,False,True
6,0.0,0.001441755841473387,-0.43929093293682353,0.0,0.0,0.0,82.39677358502043,689,False,True
7,0.0,0.0006306581141711353,-0.49330258637877933,0.0,0.0,0.0,83.14994390091046,643,False,True
8,0.0,0.0012800301899178372,-0.5789146042844745,0.0,0.0,0.0,81.46184915637693,707,False,True
9,0.0,0.0009226551052750089,-0.37039525934630224,0.0,0.0,0.0,81.98892260686719,701,False,True
10,0.0,0.000686832635639877,-0.4351517389185251,0.0,0.0,0.0,84.54974764555408,621,False,True
11,0.0,0.0005706286866638404,-0.39725953803960395,0.0,0.0,0.0,82.95641951537338,659,False,True
12,0.0,0.0009952076640533203,-0.4780576806245111,0.0,0.0,0.0,82.79621339031401,667,False,True
13,0.0,0.0005053281438644119,-0.4730846423883769,0.0,0.0,0.0,83.4052152982695,640,False,True
14,0.0,0.0007093443722882624,-0.5564588295629854,0.0,0.0,0.0,81.70430415100358,685,False,True
15,0.0,0.0013946829063239403,-0.49426687120254065,0.0,0.0,0.0,82.04435258176854,711,False,True
16,0.0,0.0012351315216576695,-0.48763730572958575,0.0,0.0,0.0,82.09920994973176,691,False,True
17,0.0,0.0013465830602646018,-0.40198124214724384,0.0,0.0,0.0,82.2141326899495,666,False,True
18,0.0,0.0005565095410605647,-0.4477673396303168,0.0,0.0,0.0,84.74147395239244,617,False,True
19,0.0,0.0006463179726731217,-0.44388206221125204,0.0,0.0,0.0,84.7717033931233,612,False,True
20,0.0,0.0011334165708761375,-0.5808731612540173,0.0,0.0,0.0,81.79276266890957,686,False,True
21,0.0,0.0005299375507771871,-0.5040604808280045,0.0,0.0,0.0,83.24627574458597,646,False,True
22,0.0,0.0010380472405328808,-0.5450976511657283,0.0,0.0,0.0,83.24807965178375,659,False,True
23,0.0,0.0007397012713898414,-0.49646816866455545,0.0,0.0,0.0,84.31845416775901,624,False,True
24,0.0,0.0010815989844753415,-0.498930133132744,0.0,0.0,0.0,82.13289387957434,697,False,True
25,0.0,0.0012520747947129807,-0.5872419015061213,0.0,0.0,0.0,81.50250877758273,685,False,True
26,0.0,0.0005111027524458651,-0.5163045448262995,0.0,0.0,0.0,83.50456328816227,616,False,True
27,0.0,0.0013016796530584305,-0.5384394239673512,0.0,0.0,0.0,81.67006853191523,679,False,True
28,0.0,0.0007965684940847153,-0.554517251741775,0.0,0.0,0.0,82.68057643990659,653,False,True
29,0.0,0.001283568590650628,-0.5635505770909726,0.0,0.0,0.0,79.96077792285149,715,False,True
30,0.0,0.0011292197224765637,-0.5441273469140405,0.0,0.0,0.0,81.68390234084943,682,False,True
31,0.0,0.0013773317139050352,-0.6046156237626586,0.0,0.0,0.0,79.89874199783046,708,False,True
32,0.0,0.0014384885090880858,-0.5663917862691478,0.0,0.0,0.0,81.5033667612999,694,False,True
33,0.0,0.0011727246774766963,-0.5525555355283509,0.0,0.0,0.0,80.93836493416457,683,False,True
34,0.0,0.0005325928564764524,-0.5774847562940294,0.0,0.0,0.0,81.1285776040108,672,False,True
35,0.0,0.000865951336279793,-0.5682069370875228,0.0,0.0,0.0,81.65966783636131,680,False,True
36,0.0,0.0011114777188026323,-0.5842116847233233,0.0,0.0,0.0,81.65458071157683,688,False,True
